timestamp,slug,strategy,pnl,fees,fills_rejected,orders,resolution,open_price,close_price,session_pnl
2026-04-19T19:04:50.496Z,btc-updown-5m-1776625500,snipe-v2,2.41,0.0900,0,1,UP,74789.58,74874.28,2.41
2026-04-19T19:10:00.134Z,btc-updown-5m-1776625800,snipe-v2,0.00,0.0000,1,0,UP,74900.46,74978.02,2.41
2026-04-19T19:19:50.391Z,btc-updown-5m-1776626400,snipe-v2,2.51,0.0899,0,1,UP,74980.01,75004.32,4.92
2026-04-19T19:29:50.380Z,btc-updown-5m-1776627000,snipe-v2,2.21,0.0894,0,1,UP,74894.02,75000.96,7.13
2026-04-19T19:35:00.175Z,btc-updown-5m-1776627300,snipe-v2,0.00,0.0000,1,0,DOWN,74987.94,74968.58,7.13
2026-04-19T19:44:55.143Z,btc-updown-5m-1776627900,snipe-v2,-2.59,0.0900,0,1,UP,75014.00,75007.30,4.54
2026-04-19T19:50:00.166Z,btc-updown-5m-1776628200,snipe-v2,0.00,0.0000,1,0,UP,74994.15,75008.13,4.54
2026-04-19T20:00:00.195Z,btc-updown-5m-1776628800,snipe-v2,0.00,0.0000,1,0,DOWN,74955.98,74971.03,4.54
2026-04-19T20:09:50.319Z,btc-updown-5m-1776629400,snipe-v2,2.31,0.0899,0,1,UP,74764.70,74839.56,6.85
2026-04-19T20:15:00.162Z,btc-updown-5m-1776629700,snipe-v2,0.00,0.0000,0,0,DOWN,74836.27,74832.64,6.85
2026-04-19T20:24:58.629Z,btc-updown-5m-1776630300,snipe-v2,-2.74,0.0897,0,1,DOWN,74711.99,74717.10,4.11
2026-04-19T20:30:00.181Z,btc-updown-5m-1776630600,snipe-v2,0.00,0.0000,1,0,UP,74718.22,74789.31,4.11
2026-04-19T20:40:00.216Z,btc-updown-5m-1776631200,snipe-v2,0.00,0.0000,1,0,DOWN,74903.65,74805.98,4.11
2026-04-19T20:50:00.193Z,btc-updown-5m-1776631800,snipe-v2,0.00,0.0000,1,0,UP,74489.08,74551.97,4.11
2026-04-19T21:00:00.173Z,btc-updown-5m-1776632400,snipe-v2,0.00,0.0000,1,0,DOWN,74729.25,74641.48,4.11
2026-04-19T21:09:50.492Z,btc-updown-5m-1776633000,snipe-v2,2.46,0.0900,0,1,UP,74710.21,74733.63,6.57
2026-04-19T21:15:00.142Z,btc-updown-5m-1776633300,snipe-v2,0.00,0.0000,1,0,DOWN,74735.74,74719.60,6.57
2026-04-19T21:24:50.296Z,btc-updown-5m-1776633900,snipe-v2,2.36,0.0900,0,1,UP,74663.50,74738.38,8.93
2026-04-19T21:30:00.174Z,btc-updown-5m-1776634200,snipe-v2,0.00,0.0000,1,0,UP,74729.26,74776.00,8.93
2026-04-19T21:40:00.136Z,btc-updown-5m-1776634800,snipe-v2,0.00,0.0000,1,0,UP,74770.60,74800.01,8.93
2026-04-19T21:49:50.315Z,btc-updown-5m-1776635400,snipe-v2,2.46,0.0900,0,1,DOWN,74772.93,74638.23,11.39
2026-04-19T21:55:00.176Z,btc-updown-5m-1776635700,snipe-v2,0.00,0.0000,1,0,DOWN,74648.53,74449.00,11.39
2026-04-19T22:05:00.156Z,btc-updown-5m-1776636300,snipe-v2,0.00,0.0000,1,0,DOWN,74438.95,73912.00,11.39
2026-04-19T22:14:50.408Z,btc-updown-5m-1776636900,snipe-v2,2.46,0.0900,0,1,DOWN,74216.71,74038.99,13.85
2026-04-19T22:19:50.419Z,btc-updown-5m-1776637200,snipe-v2,2.36,0.0900,0,1,UP,74047.10,74098.64,16.21
2026-04-19T22:25:00.139Z,btc-updown-5m-1776637500,snipe-v2,0.00,0.0000,1,0,DOWN,74078.00,73957.31,16.21
2026-04-19T22:34:50.329Z,btc-updown-5m-1776638100,snipe-v2,2.31,0.0899,0,1,UP,73976.69,74072.85,18.52
2026-04-19T22:40:00.175Z,btc-updown-5m-1776638400,snipe-v2,0.00,0.0000,1,0,UP,74070.82,74137.40,18.52
2026-04-19T22:50:00.169Z,btc-updown-5m-1776639000,snipe-v2,0.00,0.0000,1,0,DOWN,74166.00,74075.78,18.52
2026-04-19T22:59:50.484Z,btc-updown-5m-1776639600,snipe-v2,2.41,0.0900,0,1,DOWN,74164.72,74109.12,20.93
2026-04-19T23:04:50.438Z,btc-updown-5m-1776639900,snipe-v2,2.46,0.0900,0,1,DOWN,74054.25,73960.53,23.39
2026-04-19T23:09:50.363Z,btc-updown-5m-1776640200,snipe-v2,2.26,0.0897,0,1,UP,73950.86,74002.01,25.65
2026-04-19T23:14:50.452Z,btc-updown-5m-1776640500,snipe-v2,2.31,0.0899,0,1,UP,73983.15,74060.67,27.96
2026-04-19T23:20:00.205Z,btc-updown-5m-1776640800,snipe-v2,0.00,0.0000,1,0,DOWN,74052.14,73962.00,27.96
2026-04-19T23:30:00.239Z,btc-updown-5m-1776641400,snipe-v2,0.00,0.0000,1,0,UP,73872.39,73915.32,27.96
